,href,name,keys
223,https://yocket.in/university-reviews/long-island-university-brooklyn-2734/engineering,"Long Island University, Brooklyn ",LIU Brooklyn
224,https://yocket.in/university-reviews/university-of-missouri-st.-louis-2823/engineering,University of Missouri-St. Louis ,UMSL
225,https://yocket.in/university-reviews/the-university-of-alabama-2799/engineering,The University of Alabama ,U Alabama
226,https://yocket.in/university-reviews/illinois-state-university-3035/engineering,Illinois State University ,Illinois State
227,https://yocket.in/university-reviews/university-of-louisiana-at-lafayette-2641/engineering,University of Louisiana at Lafayette ,U.SW Louisi
228,https://yocket.in/university-reviews/montana-state-university-at-bozeman-2584/engineering,Montana State University at Bozeman ,Montana SU
229,https://yocket.in/university-reviews/university-of-louisville-2620/engineering,University of Louisville ,U Louisville
230,https://yocket.in/university-reviews/university-of-north-carolina-at-greensboro-2829/engineering,University of North Carolina at Greensboro ,UNCG
231,https://yocket.in/university-reviews/university-of-colorado-at-colorado-springs-2614/engineering,University of Colorado at Colorado Springs ,UCCS
232,https://yocket.in/university-reviews/west-virginia-university-montgomery-2654/engineering,West Virginia University Institute of Technology ,WVU Tech
233,https://yocket.in/university-reviews/california-state-university-san-marcos-2685/engineering,"California State University, San Marcos ",CSU SM
234,https://yocket.in/university-reviews/virginia-international-university-2852/engineering,Virginia International University ,VIU
235,https://yocket.in/university-reviews/georgetown-university-2716/engineering,Georgetown University ,Georgetown
236,https://yocket.in/university-reviews/national-university-2747/engineering,National University ,NU Cal
237,https://yocket.in/university-reviews/florida-atlantic-university-2710/engineering,Florida Atlantic University ,FAU
238,https://yocket.in/university-reviews/marshall-university-3028/engineering,Marshall University ,Marshall
239,https://yocket.in/university-reviews/baylor-university-2664/engineering,Baylor University ,Baylor
240,https://yocket.in/university-reviews/tennessee-technological-university-2793/engineering,Tennessee Technological University ,TN Tech
241,https://yocket.in/university-reviews/oklahoma-city-university-2761/engineering,Oklahoma City University ,OKCU
242,https://yocket.in/university-reviews/university-of-arkansas-at-little-rock-2807/engineering,University of Arkansas at Little Rock ,UALR
243,https://yocket.in/university-reviews/grand-valley-state-university-2720/engineering,Grand Valley State University ,GVSU
244,https://yocket.in/university-reviews/miami-university-2740/engineering,Miami University ,Miami U
245,https://yocket.in/university-reviews/dakota-state-university-2698/engineering,Dakota State University ,DSU
246,https://yocket.in/university-reviews/alcorn-state-university-2659/engineering,Alcorn State University ,Alcorn
247,https://yocket.in/university-reviews/university-of-memphis-2624/engineering,University of Memphis ,U. Memphis
248,https://yocket.in/university-reviews/university-of-washington-tacoma-2845/engineering,"University of Washington, Tacoma ",UW Tacoma
249,https://yocket.in/university-reviews/california-state-university-chico-3145/engineering,California State University Chico ,CSU Chico
250,https://yocket.in/university-reviews/villanova-university-2851/engineering,Villanova University ,Villanova
251,https://yocket.in/university-reviews/virginia-commonwealth-university-2650/engineering,Virginia Commonwealth University ,VCU
252,https://yocket.in/university-reviews/university-of-minnesota-duluth-2821/engineering,University of Minnesota Duluth ,UMN Duluth
253,https://yocket.in/university-reviews/howard-university-2575/engineering,Howard University ,Howard
254,https://yocket.in/university-reviews/fordham-university-2712/engineering,Fordham University ,Fordham
255,https://yocket.in/university-reviews/ball-state-university-2663/engineering,Ball State University ,Ball State
256,https://yocket.in/university-reviews/florida-agricultural-and-mechanical-university-2709/engineering,Florida Agricultural and Mechanical University ,FAMU
257,https://yocket.in/university-reviews/loyola-university-chicago-2736/engineering,Loyola University Chicago ,LUC
258,https://yocket.in/university-reviews/boise-state-university-2665/engineering,Boise State University ,Boise State
259,https://yocket.in/university-reviews/university-of-washington-bothell-2844/engineering,"University of Washington, Bothell ",UW Bothell
260,https://yocket.in/university-reviews/northwestern-polytechnic-university-2758/engineering,Northwestern Polytechnic University ,NPU
261,https://yocket.in/university-reviews/university-of-mississippi-2626/engineering,University of Mississippi ,U. Mississi
262,https://yocket.in/university-reviews/pittsburgh-state-university-3157/engineering,Pittsburg State University ,Pitt State
263,https://yocket.in/university-reviews/st-cloud-state-university-2790/engineering,St. Cloud State University ,SCSU
264,https://yocket.in/university-reviews/southern-arkansas-university-2784/engineering,Southern Arkansas University ,SAU Mag
265,https://yocket.in/university-reviews/bridgewater-state-university-2670/engineering,Bridgewater State University ,BridgeW
266,https://yocket.in/university-reviews/university-of-wyoming-2850/engineering,University of Wyoming ,U Wyoming
267,https://yocket.in/university-reviews/marquette-university-2581/engineering,Marquette University ,Marquette
268,https://yocket.in/university-reviews/governors-state-university-2719/engineering,Governors State University ,Gov St
269,https://yocket.in/university-reviews/sacred-heart-university-2769/engineering,Sacred Heart University ,Sacred Heart
270,https://yocket.in/university-reviews/university-of-tulsa-2646/engineering,University of Tulsa ,U. Tulsa
271,https://yocket.in/university-reviews/city-university-of-new-york-staten-island-2693/engineering,"City University Of New York, Staten Island ",CUNY SI
272,https://yocket.in/university-reviews/university-of-houston-victoria-2816/engineering,University of Houston-Victoria ,UHV
273,https://yocket.in/university-reviews/northern-arizona-university-3169/engineering,Northern Arizona University ,NAU
274,https://yocket.in/university-reviews/city-university-of-new-york-queens-college-2692/engineering,"City University Of New York, Queens College ",QC CUNY
275,https://yocket.in/university-reviews/the-university-of-maine-2801/engineering,The University of Maine ,U Maine
276,https://yocket.in/university-reviews/the-university-of-southern-mississippi-2802/engineering,The University of Southern Mississippi ,USM
277,https://yocket.in/university-reviews/troy-university-2804/engineering,Troy University ,Troy
278,https://yocket.in/university-reviews/maharishi-university-of-management-2737/engineering,Maharishi University of Management ,MUM
279,https://yocket.in/university-reviews/east-carolina-university-2701/engineering,East Carolina University ,ECU
280,https://yocket.in/university-reviews/university-of-north-dakota-2830/engineering,University of North Dakota ,UND
